Date;Price
08/06/2022;1.690,27
08/05/2022;1.737,71
08/04/2022;1.606,94
08/03/2022;1.618,08
08/02/2022;1.631,48
08/01/2022;1.630,10
07/31/2022;1.680,00
07/30/2022;1.695,97
07/29/2022;1.720,77
07/28/2022;1.726,01
07/27/2022;1.636,01
07/26/2022;1.450,70
07/25/2022;1.438,52
07/24/2022;1.598,19
07/23/2022;1.549,61
07/22/2022;1.534,85
07/21/2022;1.575,68
07/20/2022;1.520,64
07/19/2022;1.543,50
07/18/2022;1.584,77
07/17/2022;1.337,85
07/16/2022;1.356,08
07/15/2022;1.231,03
07/14/2022;1.192,75
07/13/2022;1.115,83
07/12/2022;1.038,56
07/11/2022;1.096,43
07/10/2022;1.167,35
07/09/2022;1.216,94
07/08/2022;1.216,33
07/07/2022;1.238,15
07/06/2022;1.186,45
07/05/2022;1.133,90
07/04/2022;1.151,19
07/03/2022;1.074,08
07/02/2022;1.066,60
07/01/2022;1.058,94
06/30/2022;1.069,05
06/29/2022;1.099,51
06/28/2022;1.143,97
06/27/2022;1.190,84
06/26/2022;1.198,03
06/25/2022;1.241,76
06/24/2022;1.225,03
06/23/2022;1.144,19
06/22/2022;1.049,02
06/21/2022;1.125,96
06/20/2022;1.128,32
06/19/2022;1.128,39
06/18/2022;995,61
06/17/2022;1.086,47
06/16/2022;1.068,49
06/15/2022;1.237,92
06/14/2022;1.210,84
06/13/2022;1.206,67
06/12/2022;1.435,46
06/11/2022;1.531,42
06/10/2022;1.663,02
06/09/2022;1.788,06
06/08/2022;1.793,00
06/07/2022;1.813,72
06/06/2022;1.859,99
06/05/2022;1.806,71
06/04/2022;1.804,37
06/03/2022;1.775,29
06/02/2022;1.834,64
06/01/2022;1.818,07
05/31/2022;1.941,79
05/30/2022;1.998,46
05/29/2022;1.813,56
05/28/2022;1.792,68
05/27/2022;1.724,30
05/26/2022;1.793,42
05/25/2022;1.942,91
05/24/2022;1.979,35
05/23/2022;1.972,93
05/22/2022;2.043,19
05/21/2022;1.975,12
05/20/2022;1.959,85
05/19/2022;2.019,34
05/18/2022;1.912,12
05/17/2022;2.091,14
05/16/2022;2.022,93
05/15/2022;2.145,86
05/14/2022;2.056,30
05/13/2022;2.009,53
05/12/2022;1.955,36
05/11/2022;2.080,79
05/10/2022;2.342,30
05/09/2022;2.229,10
05/08/2022;2.519,98
05/07/2022;2.636,03
05/06/2022;2.692,88
05/05/2022;2.747,46
05/04/2022;2.940,70
05/03/2022;2.781,47
05/02/2022;2.856,01
05/01/2022;2.825,80
04/30/2022;2.727,18
04/29/2022;2.816,66
04/28/2022;2.937,01
04/27/2022;2.888,99
04/26/2022;2.810,42
04/25/2022;3.006,04
04/24/2022;2.922,03
04/23/2022;2.931,90
04/22/2022;2.963,00
04/21/2022;2.983,95
04/20/2022;3.076,38
04/19/2022;3.102,01
04/18/2022;3.055,64
04/17/2022;2.989,05
04/16/2022;3.058,96
04/15/2022;3.042,01
04/14/2022;3.021,93
04/13/2022;3.116,92
04/12/2022;3.027,25
04/11/2022;2.978,29
04/10/2022;3.201,84
04/09/2022;3.259,35
04/08/2022;3.193,93
04/07/2022;3.228,84
04/06/2022;3.169,58
04/05/2022;3.406,78
04/04/2022;3.520,41
